Raw file	Scan number	MS3 Scan number	Reporter noise 0	Reporter noise 1	Reporter noise 2	Reporter noise 3	Reporter noise 4	Reporter noise 5	Reporter noise 6	Reporter noise 7	Reporter noise 8	Reporter noise 9	Reporter noise 10	Reporter noise 11	Reporter noise 12	Reporter noise 13	Reporter noise 14	Reporter noise 15
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	5550	5551	473.2224021340023	476.0591408688105	476.0771223727737	478.9138611075819	478.9318426115451	481.7685813463533	481.78656000514184	484.62329873995003	484.64128024391323	487.4780189787214	487.4960004826846	490.3327392174928	490.350720721456	493.1874594562642	493.2054409602274	496.0421796950356
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	5553	5554	480.1253797617768	481.79082418103764	481.8013810910054	483.4668255102663	483.47738242023405	485.1428268394949	485.1533820790655	486.81882649832636	486.8293834082942	488.494827827555	488.5053847375228	490.1708291567836	490.1813860667514	491.84683048601227	491.85738739598	493.52283181524086
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	5577	5579	470.56937626294643	472.16973501670793	472.1786521183037	473.5854024964045	473.59431959800037	476.76443391040675	476.78501917290976	480.0330374035932	480.05362592377344	483.3016441544569	483.32223267463706	488.6687738498846	488.70478607736425	494.3860283598441	494.42204058732375	500.1032828698036
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	5643	5644	468.8968939147608	472.21026738430044	472.2312701779109	475.5446436474505	475.565646441061	478.8790199106006	478.9000193809843	482.21339285052386	482.2343956441344	485.54776911367395	485.5687719072845	488.88214537682404	488.9031481704346	492.2165216399742	492.23752443358467	495.63745051054855
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	5657	5659	468.3188339122178	471.61969466324774	471.6406181413066	474.94147889233653	474.96240237039547	478.2632631214253	478.28418328880736	481.58504403983727	481.60596751789615	484.9559703541873	484.97797300581016	488.44908277808923	488.47108542971205	491.9421952019911	491.96419785361394	495.435307625893
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	5810	5812	486.8677434423476	492.3901674782279	492.42517298947547	497.9475970253558	497.98260253660334	501.97204773019155	501.9760255343646	502.6036580685806	502.60763650225266	503.23526903646865	503.23924747014075	503.86688000435674	503.8708584380288	504.4984909722448	504.5024694059168	505.1301019401328
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	5826	5828	457.1430953584771	460.8991726977766	460.9229817002533	464.7704332114715	464.79543736396477	468.7400600192069	468.7650602153469	471.7968499179086	471.81488463732256	474.66001857259215	474.6780532920061	477.5231872272757	477.5412219466896	480.38635588195916	480.4043906013731	483.2495245366427
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	5968	5969	469.58932653494224	470.4965429606027	470.50229352959104	471.9085708646251	471.92583592949035	474.64955016175776	474.66681249480894	477.3905267270763	477.4077917919415	480.13150602420893	480.1487710890741	482.8724853213415	482.88975038620674	485.6134646184741	485.6307296833393	488.35444391560674
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	6033	6034	490.06189329423097	492.7682429812892	492.7853979758703	495.49174766292845	495.50890265750957	498.2152523445678	498.232404624751	500.9387543118092	500.9559093063903	503.66225899344846	503.6794139880296	506.3857636750878	506.4029186696689	509.10926835672706	509.1264233513082	511.8327730383664
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	6111	6112	476.96131720010237	478.8778493247648	478.88999782810504	480.8065299527675	480.8186784561077	482.7352105807702	482.7473571618789	484.66388928654135	484.67603778988155	486.592569914544	486.60471841788427	488.60734486492913	488.62235052946255	490.98962469688047	491.0046303614139	493.37190452883186
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	6127	6128	480.37206263596613	483.69302868351974	483.71407960492223	487.0350456524759	487.05609657387834	490.377062621432	490.39811021199245	493.7190762595461	493.74012718094855	497.0610932285022	497.0821441499047	500.4031101974583	500.4241611188608	503.7451271664145	503.7661780878169	508.12449186679936
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	6162	6163	461.7181374278478	463.5874704469568	463.59931976486513	465.46865278397416	465.4805021018825	467.3498351209915	467.36168256400776	469.2310155831168	469.24286490102514	471.1121979201342	471.1240472380425	472.9933802571515	473.00522957505984	475.87242585743957	475.8911386690921	478.8432475561172
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	6166	6167	461.7465760839236	463.95703454269136	463.9710461846692	466.181504643437	466.19551628541484	468.4059747441826	468.4199841691285	470.63044262789623	470.6444542698741	472.8549127286418	472.86892437061965	475.07938282938744	475.0933944713653	477.303852930133	477.31786457211086	479.5283230308786
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	6221	6223	467.2503395568484	470.28307531556936	470.3022992043948	473.3350349631158	473.3542588519412	476.3869946106622	476.4062154577331	479.43895121645403	479.4581751052795	482.49091086400045	482.51013475282593	485.39332846610773	485.41008376686744	488.053378275252	488.0701335760117	490.7134280843963
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	6228	6229	475.4742128946039	478.6715958926919	478.69186344653696	481.889246444625	481.90951399847	485.106896996558	485.12716134351166	488.3245443415997	488.3448118954447	491.5421948935327	491.56246244737775	494.75984544546577	494.7801129993108	497.9774959973988	497.99776355124385	501.19514654933187
MC035_HEK293T_Nucleosomes_TMTpro_Grouping2_walk	6272	6273	484.6489003498029	488.8916014816294	488.9184950923382	492.50750365525766	492.5166235136957	493.95536054815403	493.96447896357654	495.40321599803485	495.4123358564729	496.8510728909312	496.8601927493693	498.2989297838276	498.30804964226564	499.74678667672396	499.755906535162	501.1946435696203
