Raw file	Scan number	MS3 Scan number	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	6578	6580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	6583	6584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	6614	6615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	7233	7234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	7419	7420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	7459	7461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	7462	7464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	7495	7497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	7540	7543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	7553	7555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	7556	7558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	7564	7568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	7581	7582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	7963	7964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	8018	8019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	8038	8041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	8562	8564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	8607	8608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	8654	8655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	8766	8768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	8941	8944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	8968	8969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	8981	8982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9030	9034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9048	9049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9107	9108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9110	9111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9141	9142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9207	9208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9360	9361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9400	9401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9494	9495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1168.219970703125	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9652	9653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9659	9661	0	874.3200073242188	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9828	9829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9859	9860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC034_HEK293T_Nucleosomes_TMTpro_Grouping2_V1	9902	9903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
