,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
sp|A6NKT7|RGPD3;sp|P49792|RBP2;sp|Q7Z3J3|RGPD4,0.0227884930507641,-0.0205599751956395,0.0887188333939327,0.0779050576393566,0.0868631486347022,0.0438358682569618,-0.0235314887307842,0.0238084419584102,-0.0577525738393511,-0.117781038113395,0.0333093367712558,-0.00808006516781892,0.0712699163491011,-0.252745324450174,-0.0931110283670655
sp|B2RPK0|HGB1A;sp|P09429|HMGB1;sp|P26583|HMGB2,0.00473152665908817,0.00539650899542858,-0.0581188395326855,-0.0489683200394227,0.152423750094612,-0.168442763229259,-0.0126017210986686,0.023121707183977,0.00680907641323814,-0.0917740403535702,-0.0234649535752244,0.0672607271863047,0.182821669500499,0.00709703908444896,-0.05211515700434
sp|B7ZW38|HNRC3;sp|O60812|HNRC1;sp|P0DMR1|HNRC4,-0.0893929041699017,0.0175326921973623,0.00218071175512093,-0.0318710462977122,0.0612603181468573,-0.043098259887662,0.0621449327198628,-0.0341434443392602,0.0383621128537345,0.000874132508692133,-0.0339399084469342,0.0418014734368275,0.0790323640934047,0.0281759972310103,-0.113471721199667
sp|O00255;sp|O00255|MEN1,-0.021243629493642,-0.0905537644900761,0.0205534614787667,0.0202491950243433,0.0489245195171164,-0.0184062946397213,-0.0251904284852565,0.0249325485087023,0.0353182857416693,-0.013075278097302,0.0379574525181292,0.123920789984438,-0.0910133860249893,-0.00519715760277552,-0.0690960695342437
sp|O00287|RFXAP,-0.0496398719370491,-0.087308080049499,-0.00897814068531963,0.0282294834654054,-0.0491123407833525,0.0506439238675133,0.0506446548474732,-0.0436627629328087,0.0637633418695492,0.0353266691450594,0.0155928171181553,0.102821959932778,-0.0664711157417813,0.156101739639534,-0.0354795186516284
sp|O00716;sp|O00716|E2F3,-0.0283789151484461,-0.0776330622878634,0.0281592829532436,-0.0133560740227779,-0.0280810160298372,-0.0257899390295062,0.0303287657464275,0.0240191297417244,4.83133781526703e-05,0.0011997551607927,-0.0590984800140083,0.027458208304679,-0.00163432713520382,-0.0606853563036657,0.0258561205576785
sp|O14593;sp|O14593|RFXK,-0.023962497936186,-0.113709646887267,0.00661882331818437,0.0183118440711011,-0.0165129773983792,0.00707579819566615,0.0144725388815109,-0.00423770772350265,-0.0323196052942731,-0.0316968354185964,0.0394751316132569,-0.143128683559515,-0.0145038947457326,0.019902253131208,0.0108255119017584
sp|O14734|ACOT8,-0.00909733219025102,0.0303674254216628,0.0035498500568336,-0.0155378789846416,0.0548063410518925,-0.00716916739896862,-0.0247770013824893,-0.00991573487017766,0.00961520130116533,0.109826658859747,-0.00106279048110566,0.0256175119792377,0.0818261475680922,-0.0407764935191054,-0.0859408335311937
sp|O15156;sp|O15156|ZBT7B,-0.0569323626819164,-0.101839008076857,0.126227044699104,-0.0267528742879938,0.0560610420262703,0.0838203735479753,0.145281295163002,-0.0373457921654788,0.119738013778198,0.0365252508804864,-0.0131960033475211,-0.0502410074448158,-0.0234651636288027,0.0171845744588529,-0.0103139407577845
sp|O15379;sp|O15379|HDAC3;sp|Q13547|HDAC1;sp|Q92769;sp|Q92769|HDAC2,-0.0725879532737465,-0.0560144748346833,0.00767892065016911,-0.00735530098842081,-0.0157535087103286,0.0262255071078083,-0.0170665746926769,0.0201594587028014,0.0466909362698432,0.0151900229476621,-0.0249924436208815,-0.0497020974901618,0.0493263464005275,0.0373370798452008,0.00351852871982253
sp|O43390;sp|O43390|HNRPR,-0.0788779169877787,-0.00836123189073006,-0.0384922239078168,-0.081862721158514,0.07584045513947,-0.0117631421903838,-0.00737651020704803,0.00960731360058329,0.014785314773062,-0.0286216880305241,0.0390422054362886,0.00035105544740667,4.61470622853765e-05,-0.0338795859232514,0.0775471323336294
sp|O43829|ZBT14,-0.0359418637363284,-0.124270838566032,0.0426751347305886,0.0365601193196952,0.0245663642106072,0.0686173468240519,-0.00301438411993781,-0.0212467286956007,0.0230089472365963,-0.0675070684288989,-0.0465791464418134,-0.0298863214892367,-0.0765871741187918,0.0839080219477184,-0.0836420367959205
sp|O60264|SMCA5,-0.0990469813130371,-0.0340210289608722,-0.050664104780113,0.0653831630264074,-0.0289219402679626,-0.100358800082736,-0.105483340100351,-0.0374227574628304,0.155879261607653,0.0132702139994964,-0.0229062963059562,-0.0015628262634122,-0.0566168555865266,-0.0212124718168302,-0.0666112137144456
sp|O60264|SMCA5;sp|P28370;sp|P28370|SMCA1,-0.0859614223959414,-0.0619614561673671,0.0394298786756135,-0.0142377325877656,0.0163721255508946,-0.0192158889257565,-0.0428172923551238,-0.00965577826332763,-0.113826272991796,0.00718861188773514,0.121543039567509,0.122499847709131,0.0534568783416333,0.0525012186313151,0.105782536330239
sp|O60341;sp|O60341|KDM1A,-0.0554869488620982,-0.05478539933071,-0.00224364145601788,-0.0217482779227903,-0.0510479322958705,-0.036991554806797,0.0275929023915653,-0.0692750467275051,0.00780914929906528,0.0177271700732783,0.00877944850981196,0.0346884417200702,0.0176625679674777,-0.018973274185133,0.115147357576316
sp|O75475;sp|O75475|PSIP1,-0.0178623330457331,-0.0172098661447876,0.019798885473656,0.00515210901315339,-0.0361294234576219,0.0104835539281836,-0.0186896364154274,-0.00978457315039102,0.0142694916255267,0.0231522910888286,-0.0213495823173094,-0.00505359393259852,-0.00647851614144944,-0.0697840137830446,0.037552410892787
sp|O75475|PSIP1,-0.0193426838700429,-0.032710659856912,-0.0188688936308622,-0.0198966965694384,-0.0377391829120861,-0.000982002159813804,-0.00885931529308378,0.0797627874736861,-0.00226111662974358,-0.0276448257351813,0.0179536872646946,0.0126293940308468,0.120284153945657,-0.0172815956035771,-0.0541984632526707
sp|O75478|TAD2A,-0.101539935788571,0.0575913929175296,0.127633627494911,0.0853785746590066,-0.107087997839328,0.0619695049643743,-0.123323045889891,0.0893039956952608,0.100147175151245,-7.01575146097012e-05,0.106484651604173,0.0544189521452335,0.0585792544832928,0.0157878039144493,0.0403709073997178
